Champion,Games,PickBan_Rate,Banned,Played,Wins,Loses,Win_Rate,Kills,Deaths,Assists,KDA
Yone,99,93.4%,63,36,17,24,66.7%,3.28,2.14,5.39,4.05
Aurora,96,90.6%,77,19,11,12,63.2%,4,2.32,7.68,5.05
Skarner,95,89.6%,56,39,15,28,71.8%,2.03,2.05,9,5.38
Ashe,83,78.3%,57,26,14,16,61.5%,3.96,2.08,6.35,4.96
Jax,80,75.5%,38,42,14,22,52.4%,3.21,2.55,4.4,2.99
Rell,72,67.9%,18,54,17,25,46.3%,0.61,4.11,10.22,2.64
Kalista,68,64.2%,47,21,10,14,66.7%,5.43,2.52,5.95,4.51
Gnar,65,61.3%,28,37,14,22,59.5%,3.05,2.46,5.54,3.49
Ziggs,63,59.4%,49,14,8,5,35.7%,2.71,2.36,5.43,3.45
Kai'Sa,61,57.5%,30,31,14,17,54.8%,5.45,1.77,4.61,5.67
Vi,61,57.5%,34,27,13,11,40.7%,1.74,3.85,6.56,2.15
Orianna,57,53.8%,33,24,11,11,45.8%,3.79,2.33,6.5,4.41
Rumble,56,52.8%,22,34,15,19,55.9%,3.29,2.74,5.56,3.24
Poppy,55,51.9%,30,25,16,9,36%,0.76,3.04,7.12,2.59
Sejuani,53,50%,21,32,16,14,43.8%,1.56,3.25,8.13,2.98
Ezreal,53,50%,23,30,16,15,50%,4.4,1.87,4.37,4.7
Renekton,51,48.1%,25,26,16,9,34.6%,2.31,3.73,5.15,2
Rakan,46,43.4%,20,26,12,16,61.5%,0.54,2.08,10.12,5.13
Leona,45,42.5%,16,29,14,17,58.6%,0.72,3.83,10.17,2.85
Jhin,40,37.7%,12,28,15,13,46.4%,3.57,1.82,6.71,5.65
K'Sante,40,37.7%,19,21,13,10,47.6%,2.76,3.14,5.43,2.61
Ahri,38,35.8%,8,30,14,14,46.7%,3.73,1.83,5.23,4.89
Renata Glasc,37,34.9%,20,17,8,8,47.1%,0.35,2.76,9.71,3.64
Nocturne,33,31.1%,10,23,12,11,47.8%,2.48,2.65,8.13,4
Sylas,31,29.2%,12,19,8,12,63.2%,3.63,2.32,6.42,4.34
Xayah,31,29.2%,16,15,9,9,60%,4.2,2.2,4.07,3.76
Alistar,29,27.4%,9,20,12,8,40%,0.45,3.15,7.85,2.63
Maokai,29,27.4%,11,18,12,9,50%,0.83,3.39,9.06,2.92
Smolder,29,27.4%,13,16,12,5,31.3%,4.69,2.69,3.44,3.02
Braum,29,27.4%,14,15,11,8,53.3%,0.33,3,9.73,3.36
Lucian,26,24.5%,15,11,7,3,27.3%,4,3.18,5.36,2.94
Wukong,24,22.6%,9,15,8,8,53.3%,3.2,3.4,8.27,3.37
Syndra,23,21.7%,10,13,8,5,38.5%,3.92,3.23,5.23,2.83
Nautilus,23,21.7%,11,12,8,5,41.7%,0.33,5,10.42,2.15
Neeko,23,21.7%,13,10,6,6,60%,2.4,2.6,5.8,3.15
Akali,22,20.8%,9,13,5,8,38.5%,4,2.77,3.38,2.67
Nidalee,22,20.8%,16,6,4,2,66.7%,4.5,1.5,9.33,9.22
Ivern,22,20.8%,18,4,2,2,50%,0.5,2,8.25,4.38
Miss Fortune,20,18.9%,4,16,5,11,31.3%,4.13,2.75,4.75,3.23
LeBlanc,20,18.9%,13,7,4,3,57.1%,5.86,3,6.57,4.14
Tristana,19,17.9%,6,13,5,8,38.5%,3.69,2.23,4.15,3.52
Varus,16,15.1%,8,8,3,5,37.5%,4.63,3,4.25,2.96
Brand,16,15.1%,10,6,3,3,50%,2.67,2.17,8.17,5
Jarvan IV,15,14.2%,8,7,3,4,42.9%,2.14,2.86,8,3.55
