Season,City,Prize_Pool,Peak_Viewers,Winner_Team,Runner_Up_Team,Score,Year
Season 1,Jönköping,210.069,99.500,Fnatic,against All authority,2-1,2011
Season 2,Los Angeles,1.100.000,2.000.000,Taipei Assasins,Azubu Frost,3-1,2012
Season 3,Los Angeles,8.500.000,2.050.000,T1, Royal Club,3-0,2013
Season 4,Seoul,11.000.000,2.130.000,Samsung Galaxy,Royal Club,3-1,2014
Season 5,Berlin,14.000.000,2.130.000,T1,KOO Tigers,3-1,2015
Season 6,Los Angeles,14.700.000,5.070.000,T1,Samsung Galaxy,3-2,2016
Season 7,Beijing,2.101.737,4.596.591,Samsung Galaxy,T1,3-0,2017
Season 8,Incheon,2.040.118,6.450.000,Invictus Gaming,Fnatic,3-0,2018
Season 9,Paris,3.981.706,2.225.000,FunPlus Phoenix,G2 Esports,3-0,2019
Season 10,Shanghai,3.884.667,2.225.000,DWG KIA,Suning,3-1,2020
Season 11,Reykjavík,4.018.728,2.225.000,EDward Gaming,DWG KIA,3-2,2021
Season 12,San Francisco,5.147.701,2.225.000,DRX,T1,3-2,2022
Season 13,Seoul,6.400.000,2.225.000,T1,Weibo Gaming,3-0,2023
Season 14,London,6.900.000,2.225.000,T1,Bilibili Gaming,3-2,2024
