Team_Name,Player_Name,Role,Games,Wins,Losses,Win_Rate,Kills,Deaths,Assists,KDA,Champions_Played,Region
100T,Eyla,Support,7,3,4,42.9%,0.86,4.14,10.29,2.69,6,LCS
100T,Quid,Mid,7,3,4,42.9%,4.14,3.71,6.14,2.77,6,LCS
100T,River,Top,7,3,4,42.9%,2.86,3.71,7.86,2.88,7,LCS
100T,Sniper,Jungle,7,3,4,42.9%,3.43,3.14,5,2.68,3,LCS
100T,Tomo,ADC,7,3,4,42.9%,4.57,2.71,6.29,4,7,LCS
Bilibili Gaming,Bin,Top,20,13,7,65%,3.55,2,5.05,4.3,4,LPL
Bilibili Gaming,Elk,ADC,20,13,7,65%,4.55,2.55,6.05,4.16,9,LPL
Bilibili Gaming,knight,Mid,20,13,7,65%,4.65,2,6.65,5.65,12,LPL
Bilibili Gaming,ON,Support,20,13,7,65%,0.5,3.7,9.65,2.74,9,LPL
Bilibili Gaming,XUN,Jungle,17,12,5,70.6%,2.18,2.24,9.24,5.11,7,LPL
Bilibili Gaming,Wei,Top,3,1,2,33.3%,1,4,11.33,3.08,2,LPL
DWG KIA,Aiming,ADC,9,3,6,33.3%,5,2,4.67,4.83,6,LCK
DWG KIA,Kingen,Top,9,3,6,33.3%,1.67,3.56,4.67,1.78,8,LCK
DWG KIA,Lucid,Jungle,9,3,6,33.3%,1.89,4.56,6,1.73,6,LCK
DWG KIA,Moham,Support,9,3,6,33.3%,0.44,5.11,9.22,1.89,7,LCK
DWG KIA,ShowMaker,Mid,9,3,6,33.3%,3.56,2.67,4.78,3.13,7,LCK
FlyQuest,Busio,Top,14,7,7,50%,1.07,2.5,8.07,3.66,7,LCS
FlyQuest,Bwipo,Jungle,14,7,7,50%,2.14,4.14,4.86,1.69,8,LCS
FlyQuest,Inspired,Mid,14,7,7,50%,1.07,2.07,8.64,4.69,8,LCS
FlyQuest,Massu,ADC,14,7,7,50%,4.21,2.07,5,4.45,5,LCS
FlyQuest,Quad,Support,14,7,7,50%,4,1.79,5.36,5.24,8,LCS
FNC,Humanoid,Mid,6,2,4,33.3%,2.33,3.33,4.83,2.15,5,LEC
FNC,Jun,Support,6,2,4,33.3%,0.67,3.17,8.5,2.89,2,LEC
FNC,Noah,ADC,6,2,4,33.3%,4.5,1.5,4.33,5.89,5,LEC
FNC,Oscarinin,Top,6,2,4,33.3%,2,3.5,4.83,1.95,5,LEC
FNC,Razork,Jungle,6,2,4,33.3%,2,3.17,7.83,3.11,4,LEC
