Player_Name,Titles,Games_Played,Wins,Losses,Win_Rate,Kills,Deaths,Assists,KDA,Position
Faker,5,147,109,38,74.1%,506,311,805,4.22,Mid
Xiaohu,0,109,62,47,56.9%,332,235,636,4.12,Mid
Deft,1,95,57,38,60%,389,181,472,4.76,ADC
Impact,1,94,57,37,60.6%,232,216,494,3.36,Top
Ruler,0,93,60,33,64.5%,335,145,451,5.42,ADC
Caps,0,91,49,42,53.8%,303,245,497,3.27,Mid
Canyon,1,88,60,28,68.2%,279,172,603,5.13,Jungle
Jensen,0,86,46,40,53.5%,299,184,426,3.94,Mid
PerkZ,0,86,46,40,53.5%,316,214,422,3.45,Mid
Meiko,1,83,45,38,54.2%,62,183,741,4.39,Support
ShowMaker,1,83,55,28,66.3%,309,133,484,5.96,Mid
Scout,1,81,45,36,55.6%,302,150,427,4.86,Mid
BeryL,2,80,60,20,75%,83,190,681,4.02,Support
Peanut,0,80,49,31,61.3%,192,171,553,4.36,Jungle
Chovy,0,76,45,31,59.2%,252,115,370,5.41,Mid
